?rednia cena lokali mieszkalnych sprzedanych w ramach transakcji rynkowych w z?;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
DOLNO?L?SKIE;135 119;135 288;126 993;135 294;134 637;135 722;142 311;148 265;153 758;164 032;167 974;222 302;258 875;280 668
KUJAWSKO-POMORSKIE;105 619;110 812;108 391;105 670;104 575;106 140;110 619;120 745;127 449;143 804;162 359;180 438;203 514;201 369
LUBELSKIE;118 916;124 058;124 721;120 302;115 986;125 620;135 697;136 524;152 571;164 884;187 730;210 254;229 150;271 563
LUBUSKIE;82 201;87 787;84 127;80 958;80 858;85 179;89 337;92 141;104 130;115 915;135 794;143 455;164 750;193 197
?ÓDZKIE;106 860;107 828;102 886;101 114;100 229;98 649;103 207;113 273;125 346;146 177;164 388;182 559;204 392;225 823
MA?OPOLSKIE;201 009;205 281;193 906;186 787;196 389;196 500;195 828;198 538;214 541;235 682;268 075;299 846;338 756;393 770
MAZOWIECKIE;216 387;224 788;207 812;200 228;207 466;221 460;223 104;230 314;244 881;260 162;277 414;305 886;349 029;391 738
OPOLSKIE;99 491;101 107;99 708;96 018;95 458;91 267;96 500;92 155;109 571;118 768;134 762;144 312;173 087;180 968
PODKARPACKIE;91 641;99 540;112 404;111 811;116 344;128 831;114 050;115 984;141 378;162 920;180 527;202 655;213 196;247 741
PODLASKIE;121 326;132 331;129 908;129 597;131 862;133 503;134 070;133 595;147 802;167 236;189 481;209 402;228 049;259 001
POMORSKIE;151 155;157 442;154 382;155 519;149 641;156 142;168 843;187 496;200 875;219 736;240 922;269 523;297 232;317 970
?L?SKIE;90 306;92 841;88 247;85 283;84 316;87 301;85 875;92 381;99 102;114 346;132 227;151 435;168 065;196 337
?WI?TOKRZYSKIE;99 982;97 325;114 144;118 789;112 808;110 564;108 047;110 110;120 148;130 995;152 078;166 622;196 572;224 244
WARMI?SKO-MAZURSKIE;118 157;112 147;109 989;102 313;105 393;101 899;102 278;109 037;117 515;128 343;143 589;163 690;182 474;202 730
WIELKOPOLSKIE;154 473;150 294;145 445;144 052;149 090;153 510;154 742;161 429;171 472;165 234;179 343;201 288;235 944;251 015
ZACHODNIOPOMORSKIE;130 372;127 851;127 181;125 051;130 305;121 614;128 575;135 022;166 395;171 827;201 858;242 659;293 534;291 951
